tool,execution_id,project,caller_class,callee_class,type,covered_lines,total_lines,line_coverage_perc,killed_mutants,total_mutants,mutation_coverage_perc
randoop-callee5,9,time,org.joda.time.chrono.BasicWeekyearDateTimeField,org.joda.time.chrono.BasicChronology,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.BasicWeekyearDateTimeField,org.joda.time.chrono.BasicChronology,call,0,,0,0,,0
cling,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,44,121,36,53,367,14
evosuite-callee5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,0,121,0,0,367,0
evosuite-caller5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,73,121,60,121,367,33
randoop,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,112,121,93,296,367,81
randoop-callee5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.GJChronology$CutoverField,call,23,121,19,3,367,1
cling,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,46,63,73,32,157,20
evosuite-callee5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,57,63,90,73,157,46
evosuite-caller5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,59,63,94,88,157,56
randoop,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,59,63,94,140,157,89
randoop-callee5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,48,63,76,41,157,26
randoop-caller5,9,time,org.joda.time.chrono.GJChronology,org.joda.time.chrono.JulianChronology,call,46,63,73,14,157,9
cling,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,202,335,60,220,734,30
evosuite-callee5,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,295,335,88,441,734,60
randoop,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,232,335,69,356,734,49
randoop-callee5,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.CopticChronology,org.joda.time.DateTimeZone,call,60,335,18,5,734,1
cling,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,224,335,67,413,734,56
evosuite-callee5,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,297,335,89,460,734,63
randoop,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,0,190,0,0,509,0
randoop-callee5,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.ZonedChronology,org.joda.time.DateTimeZone,call,0,335,0,0,734,0
cling,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,160,335,48,161,734,22
evosuite-callee5,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,295,335,88,436,734,59
randoop,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,238,335,71,449,734,61
randoop-callee5,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,0,,0,0,,0
cling,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,224,335,67,187,734,25
evosuite-callee5,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,295,335,88,437,734,60
randoop,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,242,335,72,415,734,57
randoop-callee5,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,60,335,18,4,734,1
cling,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,0,335,0,0,734,0
evosuite-callee5,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,295,335,88,395,734,54
randoop,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,235,335,70,391,734,53
randoop-callee5,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,60,335,18,2,734,0
cling,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,87,337,26,44,1510,3
evosuite-callee5,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,333,337,99,293,1510,19
evosuite-caller5,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,333,337,99,298,1510,20
randoop,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,189,337,56,162,1510,11
randoop-callee5,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,189,337,56,138,1510,9
randoop-caller5,9,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,0,,0,0,,0
cling,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,10,225,4,8,801,1
evosuite-callee5,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,222,225,99,597,801,75
evosuite-caller5,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,222,225,99,597,801,75
randoop,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,216,225,96,670,801,84
randoop-callee5,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,201,225,89,496,801,62
randoop-caller5,9,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,0,,0,0,,0
cling,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,6,71,8,12,323,4
evosuite-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,68,71,96,223,323,69
evosuite-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,68,71,96,228,323,71
randoop,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,0,190,0,0,509,0
randoop-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,63,71,89,197,323,61
randoop-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,0,71,0,0,323,0
cling,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,224,335,67,244,734,33
evosuite-callee5,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,295,335,88,417,734,57
randoop,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,235,335,70,369,734,50
randoop-callee5,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,92,335,27,58,734,8
cling,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,148,335,44,127,734,17
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,295,335,88,437,734,60
randoop,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,230,335,69,344,734,47
randoop-callee5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,60,335,18,2,734,0
cling,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,19,151,13,60,542,11
evosuite-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,147,151,97,140,542,26
evosuite-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,147,151,97,159,542,29
randoop,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,112,151,74,174,542,32
randoop-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,77,151,51,46,542,8
randoop-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,0,,0,0,,0
cling,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,0,191,0,0,642,0
evosuite-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,185,191,97,464,642,72
evosuite-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,185,191,97,481,642,75
randoop,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,158,191,83,354,642,55
randoop-callee5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,70,191,37,125,642,19
randoop-caller5,9,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,0,,0,0,,0
cling,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,241,335,72,307,734,42
evosuite-callee5,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,295,335,88,439,734,60
evosuite-caller5,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,295,335,88,442,734,60
randoop,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,190,0,0,509,0
randoop-callee5,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,335,0,0,734,0
cling,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,59,207,29,72,466,15
evosuite-callee5,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,198,207,96,259,466,56
evosuite-caller5,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,198,207,96,269,466,58
randoop,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,157,207,76,318,466,68
randoop-callee5,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,120,207,58,96,466,21
randoop-caller5,9,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,72,207,35,77,466,17
cling,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,25,43,58,23,77,30
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,43,43,100,52,77,68
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,43,43,100,61,77,79
randoop,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,42,43,98,70,77,91
randoop-callee5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,6,43,14,0,77,0
cling,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,101,192,53,224,642,35
evosuite-callee5,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,460,642,72
evosuite-caller5,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,464,642,72
randoop,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,180,192,94,531,642,83
randoop-callee5,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,9,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,99,192,52,3,642,0
cling,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,71,109,65,58,274,21
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,109,109,100,177,274,65
randoop,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,101,109,93,218,274,80
randoop-callee5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,9,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,0,109,0,0,274,0
cling,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,91,192,47,281,642,44
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,460,642,72
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,461,642,72
randoop,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,180,192,94,542,642,84
randoop-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,0,,0,0,,0
cling,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,29,192,15,19,642,3
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,460,642,72
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,463,642,72
randoop,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,185,192,96,587,642,91
randoop-callee5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,9,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,13,192,7,2,642,0
cling,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,0,82,0,0,165,0
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,71,82,87,44,165,27
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,72,82,88,52,165,32
randoop,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,66,82,80,36,165,22
randoop-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,0,,0,0,,0
randoop-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,7,82,9,0,165,0
cling,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,52,109,48,50,274,18
evosuite-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,109,109,100,181,274,66
randoop,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,103,109,94,230,274,84
randoop-callee5,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,9,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,0,,0,0,,0
cling,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,4,109,4,16,274,6
evosuite-callee5,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,109,109,100,175,274,64
randoop,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,0,190,0,0,509,0
randoop-callee5,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,9,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,9,89,10,4,345,1
evosuite-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,88,89,99,179,345,52
evosuite-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,88,89,99,193,345,56
randoop,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,89,0,0,345,0
randoop-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,,0,0,,0
randoop-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,393,971,40,966,2403,40
evosuite-callee5,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,599,971,62,685,2403,29
evosuite-caller5,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,601,971,62,686,2403,29
randoop,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,971,0,0,2403,0
randoop-caller5,9,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,971,0,0,2403,0
cling,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,66,251,26,266,931,29
evosuite-callee5,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,243,251,97,593,931,64
evosuite-caller5,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,243,251,97,595,931,64
randoop,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,2,251,1,5,931,1
randoop-callee5,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,0,,0,0,,0
randoop-caller5,9,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,46,245,19,90,483,19
evosuite-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,240,245,98,298,483,62
evosuite-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,240,245,98,302,483,63
randoop,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,245,0,0,483,0
randoop-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,245,0,0,483,0
randoop-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,452,971,47,482,2403,20
evosuite-callee5,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,599,971,62,685,2403,29
evosuite-caller5,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,600,971,62,725,2403,30
randoop,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,,0,0,,0
randoop-caller5,9,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,507,971,52,768,2403,32
cling,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,19,190,10,24,509,5
evosuite-callee5,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,129,190,68,215,509,42
evosuite-caller5,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,131,190,69,232,509,46
randoop,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,17,190,9,34,509,7
randoop-caller5,9,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,92,243,38,94,491,19
evosuite-callee5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,112,243,46,121,491,25
evosuite-caller5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,131,243,54,146,491,30
randoop,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,0,243,0,0,491,0
randoop-caller5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,118,243,49,159,491,32
cling,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,213,971,22,489,2403,20
evosuite-callee5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,599,971,62,685,2403,29
evosuite-caller5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,602,971,62,714,2403,30
randoop,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,,0,0,,0
randoop-caller5,9,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,513,971,53,781,2403,33
cling,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,262,1948,13,212,4058,5
evosuite-callee5,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,1305,1948,67,1131,4058,28
evosuite-caller5,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,1305,1948,67,1037,4058,26
randoop,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,228,1948,12,143,4058,4
randoop-caller5,9,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,228,1948,12,144,4058,4
cling,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,610,0,0,1641,0
evosuite-callee5,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,194,610,32,549,1641,33
evosuite-caller5,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,194,610,32,549,1641,33
randoop,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,190,0,0,509,0
randoop-callee5,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,,0,0,,0
randoop-caller5,9,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,,0,0,,0
cling,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,187,398,47,337,1240,27
evosuite-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,372,398,93,1023,1240,83
evosuite-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,372,398,93,788,1240,64
randoop,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,2,398,1,0,1240,0
randoop-callee5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,2,398,1,0,1240,0
randoop-caller5,9,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,0,398,0,0,1240,0
cling,9,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,261,724,36,921,2336,39
