tool,execution_id,project,caller_class,callee_class,total_cb,covered_cb
cling,6,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,819
cling,7,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,1028
cling,8,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,912
cling,9,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,791
cling,10,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,898
cling,11,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,975
cling,12,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,886
cling,13,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,806
cling,14,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,920
cling,15,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,818
cling,16,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,823
cling,17,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,894
cling,18,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,783
cling,19,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,949
cling,20,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,830
